2015-02-11 20:30:59,655 DEBUG [Home_HomeAlarms] 
2015-02-11 20:30:59,679 DEBUG [Home_HomeAlarms] EXECUTING: (Home_HomeAlarms) inside the Suite (CheckingLinks) , [ SuiteRunmode:true | TestCaseRunmode:true | DataSetRunmode:true ]
2015-02-11 20:30:59,679 DEBUG [Home_HomeAlarms] 		Opening windowsMozilla
2015-02-11 20:34:28,161 DEBUG [Home_HomeAlarms] 		Navigating testSiteURL=http://www.fittedhomealarms.co.uk/
2015-02-11 20:34:35,203 DEBUG [Home_HomeAlarms] 		Checking iselement present //ul[@id='nav']/li[4]/a=null
2015-02-11 20:34:35,287 DEBUG [Home_HomeAlarms] 		Clicking //ul[@id='nav']/li[4]/a=null
2015-02-11 20:34:35,611 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:34:39,230 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:34:39,346 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:34:39,547 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:34:39,654 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:34:39,784 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:34:40,058 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:34:40,111 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:34:40,417 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
